iter	Passed	Remaining
0	9	4534
1	16	4072
2	23	3826
3	29	3628
4	34	3449
5	39	3261
6	43	3092
7	48	2973
8	52	2875
9	57	2811
10	61	2749
11	66	2692
12	70	2651
13	75	2616
14	79	2579
15	84	2555
16	89	2541
17	94	2529
18	99	2512
19	104	2501
20	109	2488
21	113	2474
22	118	2467
23	123	2448
24	127	2428
25	132	2416
26	137	2405
27	142	2393
28	147	2390
29	152	2386
30	156	2371
31	161	2362
32	165	2347
33	170	2338
34	175	2329
35	179	2319
36	184	2309
37	189	2300
38	194	2293
39	198	2285
40	203	2276
41	209	2281
42	213	2272
43	218	2264
44	222	2254
45	227	2246
46	232	2238
47	236	2229
48	241	2221
49	246	2214
50	250	2206
51	255	2201
52	260	2194
53	264	2187
54	269	2180
55	274	2173
56	278	2166
57	283	2160
58	288	2155
59	292	2148
60	297	2142
61	302	2135
62	306	2127
63	311	2121
64	316	2119
65	321	2113
66	326	2107
67	330	2101
68	335	2094
69	340	2089
70	344	2082
71	349	2075
72	353	2069
73	358	2062
74	362	2056
75	367	2050
76	371	2043
77	376	2038
78	381	2032
79	385	2026
80	390	2022
81	395	2016
82	400	2010
83	404	2004
84	409	1998
85	413	1991
86	418	1985
87	422	1979
88	427	1973
89	431	1966
90	436	1960
91	440	1954
92	444	1947
93	449	1940
94	453	1935
95	458	1929
96	462	1923
97	467	1916
98	472	1913
99	476	1907
100	481	1902
101	486	1897
102	490	1891
103	495	1886
104	500	1881
105	504	1876
106	509	1871
107	514	1866
108	518	1860
109	523	1855
110	528	1850
111	532	1844
112	536	1837
113	540	1831
114	545	1825
115	549	1819
116	554	1813
117	558	1807
118	563	1802
119	567	1797
120	571	1791
121	576	1786
122	580	1780
123	585	1774
124	589	1769
125	594	1763
126	598	1757
127	602	1751
128	607	1746
129	611	1740
130	616	1735
131	620	1730
132	625	1725
133	629	1719
134	634	1714
135	638	1709
136	642	1703
137	647	1697
138	651	1692
139	655	1686
140	660	1680
141	664	1675
142	668	1669
143	673	1665
144	677	1659
145	682	1653
146	686	1648
147	690	1641
148	694	1636
149	699	1631
150	703	1626
151	708	1621
152	712	1615
153	717	1611
154	721	1605
155	725	1600
156	730	1595
157	734	1590
158	738	1584
159	743	1579
160	747	1574
161	752	1570
162	756	1564
163	761	1559
164	765	1554
165	770	1550
166	774	1545
167	779	1540
168	783	1535
169	787	1529
170	792	1524
171	796	1519
172	801	1514
173	805	1509
174	810	1505
175	815	1501
176	820	1497
177	825	1493
178	830	1488
179	834	1483
180	839	1478
181	843	1474
182	848	1469
183	852	1464
184	857	1460
185	862	1455
186	866	1449
187	871	1445
188	876	1441
189	880	1437
190	885	1432
191	890	1428
192	894	1423
193	899	1418
194	904	1414
195	909	1410
196	913	1405
197	918	1400
198	922	1395
199	927	1390
200	931	1385
201	936	1381
202	940	1376
203	945	1371
204	950	1367
205	955	1363
206	960	1359
207	965	1355
208	970	1350
209	974	1346
210	979	1341
211	984	1336
212	988	1332
213	993	1327
214	998	1323
215	1002	1318
216	1007	1314
217	1012	1309
218	1016	1304
219	1021	1299
220	1025	1294
221	1030	1290
222	1035	1285
223	1039	1280
224	1044	1276
225	1048	1271
226	1053	1266
227	1057	1261
228	1062	1256
229	1066	1252
230	1071	1247
231	1075	1242
232	1079	1237
233	1084	1232
234	1088	1227
235	1093	1222
236	1097	1217
237	1101	1212
238	1106	1207
239	1110	1202
240	1114	1198
241	1119	1193
242	1123	1188
243	1128	1183
244	1132	1178
245	1136	1173
246	1141	1168
247	1145	1164
248	1150	1159
249	1154	1154
250	1159	1150
251	1164	1145
252	1168	1140
253	1173	1136
254	1177	1131
255	1182	1126
256	1186	1121
257	1190	1117
258	1195	1112
259	1199	1107
260	1203	1102
261	1209	1098
262	1213	1093
263	1218	1089
264	1223	1084
265	1228	1080
266	1233	1076
267	1237	1071
268	1242	1066
269	1246	1062
270	1251	1057
271	1256	1052
272	1260	1048
273	1265	1043
274	1269	1038
275	1274	1034
276	1279	1029
277	1283	1025
278	1288	1020
279	1293	1016
280	1297	1011
281	1302	1006
282	1306	1001
283	1311	997
284	1315	992
285	1320	988
286	1325	983
287	1329	978
288	1334	974
289	1339	969
290	1343	964
291	1348	960
292	1352	955
293	1357	951
294	1361	946
295	1366	941
296	1371	937
297	1375	932
298	1380	927
299	1385	923
300	1389	918
301	1394	914
302	1398	909
303	1402	904
304	1407	899
305	1411	895
306	1416	890
307	1420	885
308	1424	880
309	1429	876
310	1433	871
311	1438	866
312	1442	861
313	1447	857
314	1451	852
315	1455	847
316	1460	843
317	1464	838
318	1469	833
319	1473	828
320	1477	824
321	1482	819
322	1486	814
323	1491	809
324	1495	805
325	1499	800
326	1504	795
327	1508	790
328	1512	786
329	1517	781
330	1521	776
331	1526	772
332	1530	767
333	1535	762
334	1539	758
335	1543	753
336	1548	749
337	1553	744
338	1557	739
339	1561	735
340	1566	730
341	1570	725
342	1574	720
343	1579	716
344	1583	711
345	1587	706
346	1591	701
347	1596	697
348	1600	692
349	1604	687
350	1609	683
351	1613	678
352	1617	673
353	1622	669
354	1626	664
355	1630	659
356	1635	655
357	1639	650
358	1644	645
359	1648	641
360	1652	636
361	1657	631
362	1661	627
363	1665	622
364	1670	617
365	1674	613
366	1678	608
367	1683	603
368	1687	599
369	1692	594
370	1696	589
371	1700	585
372	1705	580
373	1709	575
374	1713	571
375	1718	566
376	1722	561
377	1726	557
378	1731	552
379	1735	548
380	1739	543
381	1744	538
382	1748	534
383	1753	529
384	1757	524
385	1762	520
386	1766	515
387	1770	511
388	1775	506
389	1779	501
390	1783	497
391	1787	492
392	1792	487
393	1796	483
394	1800	478
395	1805	474
396	1810	469
397	1814	464
398	1818	460
399	1823	455
400	1827	451
401	1832	446
402	1836	442
403	1840	437
404	1845	432
405	1849	428
406	1853	423
407	1857	418
408	1862	414
409	1866	409
410	1870	405
411	1874	400
412	1879	395
413	1883	391
414	1888	386
415	1892	382
416	1896	377
417	1901	372
418	1905	368
419	1909	363
420	1914	359
421	1918	354
422	1922	350
423	1927	345
424	1931	340
425	1935	336
426	1940	331
427	1944	327
428	1949	322
429	1954	318
430	1958	313
431	1962	308
432	1967	304
433	1971	299
434	1976	295
435	1980	290
436	1984	286
437	1989	281
438	1993	277
439	1997	272
440	2001	267
441	2006	263
442	2011	258
443	2015	254
444	2020	249
445	2025	245
446	2029	240
447	2034	236
448	2038	231
449	2043	227
450	2047	222
451	2052	217
452	2057	213
453	2061	208
454	2066	204
455	2071	199
